ID,MP,Constituency,Region,Party,Gender,Married,Kids,Born,Occupation,Religion,Denomination,NDC-Votes,NPP-Votes,Total-Votes,NDC-Pres,NPP-Pres,MP-2012-No-Longer-Serving
118,Kofi Okyere-Agyekum,Fanteakwa South,Eastern Region,NPP,M,Married,3,1958,Business Person,Christian,Presby,6560,11683,20168,6746,12681,
119,Ofosu Asamoah,Kade,Eastern Region,NPP,M,Married,3,1969,Lawyer,Christian,Presby,17168,27506,50522,17040,32536,
120,Ebenezer Okletey Terlabi,Lower Manya Krobo,Eastern Region,NDC,M,Married,3,1963,biochemist,Christian,Church of Pentecost,24367,16181,45957,30183,13965,
121,Gifty Klenam (Ms),Lower West Akim,Eastern Region,NPP,F,Married,2,1970,farmer,Christian,ICGC,18225,26663,46132,18433,26677,
122,Kwame Seth Acheampong,Mpraeso,Eastern Region,NPP,M,Married,0,1971,Business Person,Christian,Presby,8792,22417,32815,9785,22530,
123,Kwasi Boateng Adjei,New Juaben North,Eastern Region,NPP,M,Married,3,1954,Politician,Christian,Methodist,8911,19970,29888,9159,19960,
124,Mark Assibey-Yeboah (Dr),New Juaben South,Eastern Region,NPP,M,Married,3,1974,Economist,Christian,Presby,24925,38030,64731,26063,38307,
125,Eric Kwakye Darfour,Nkawkaw,Eastern Region,NPP,M,Married,3,1957,Business Person,Christian,ISKCON,16503,35769,52894,15073,37089,
126,Frank Annoh-Dompreh,Nsawam-Adoagyiri,Eastern Region,NPP,M,Married,3,1977,farmer,Christian,Church of Pentecost,21663,24074,47649,22919,24084,
127,David Oppon-Kusi,Ofoase-Ayirebi,Eastern Region,NPP,M,Married,7,1958,Architect,Christian,Methodist,13659,19025,35262,12892,21393,
128,Daniel Botwe,Okere,Eastern Region,NPP,M,Married,3,1958,Computer Scientist,Christian,Presby,9680,15165,25247,9806,15050,
129,Frederick Opare-Ansah,Suhum,Eastern Region,NPP,M,Married,0,1958,Engineer,Christian,,23658,24046,48791,21520,26608,
130,Jeff Tetteh Kavianu,Upper Manya Krobo,Eastern Region,NDC,M,Married,4,1964,Management Consultant,Christian,New Fountain of Life Ministry International,15924,8904,26523,17613,8112,
131,Joseph Sam Amankwanor,Upper West Akim,Eastern Region,NDC,M,Married,5,1954,Business Person,Christian,Royal House Temple,18736,14973,34012,19128,14059,
132,Magnus Kofi Amoatey,Yilo Krobo,Eastern Region,NDC,M,Married,4,1948,Director of Programmes,Christian,Presbyterian,26581,14510,43228,29300,13339,
133,Theophilus Tetteh Chaie,Ablekuma Central,Greater Accra Region,NDC,M,Married,1,1972,Educationist,Christian,Methodist,46606,45265,94187,49438,45265,
134,Justice Joe Appiah,Ablekuma North,Greater Accra Region,NPP,M,Married,5,1959,Network engineer/ Bussiness person,Christian,Presbyterian church,34534,53115,90136,34802,54864,
135,Fritz Frederic Baffour,Ablekuma South,Greater Accra Region,NDC,M,Married,4,1952,Journalist/Advertiser,Christian,Catholic,33540,23506,59703,35981,24887,
136,Ursula G. Owusu-Ekuful (Mrs.),Ablekuma West,Greater Accra Region,NPP,F,Married,0,1964,Lawyer,Christian,,26153,36975,63514,25185,36383,
137,Comfort Doyoe Cudjoe-Ghansah (Mrs.),Ada,Greater Accra Region,NDC,F,Married,6,1967,Business person,Christian,Methodist,19749,1824,27083,22794,3573,
