ID,MP,Constituency,Region,Party,Gender,Married,Kids,Born,Occupation,Religion,Denomination,NDC-Votes,NPP-Votes,Total-Votes,NDC-Pres,NPP-Pres,MP-2012-No-Longer-Serving
64,Emmanuel Kwadwo Agyekum,Nkoranza South,Brong Ahafo Region,NDC,M,Married,0,1973,Entrepreneur,Christian,Seventh- Day Adventist,24536,19534,44273,24095,19607,
65,Kwabena Donkor (Dr),Pru East,Brong Ahafo Region,NDC,M,Married,3,1958,Energy Consultant,Christian,ICGC,15906,3430,25863,19317,6172,
66,Masawud Mohammed (Alhaji),Pru West,Brong Ahafo Region,NDC,M,Married,4,1971,Public Servant,Islam,,9465,8278,19478,11922,6800,
67,Dominic Napare,Sene East,Brong Ahafo Region,NDC,M,Married,4,1960,Education Executive,Christian,Catholic,10343,4937,15453,10892,4070,
68,Twumasi Kwame Ampofo,Sene West,Brong Ahafo Region,NDC,M,Married,0,1968,Manufacturing,Christian,,12511,6721,19504,12926,6345,
69,Kwasi Ameyaw-Cheremeh,Sunyani East,Brong Ahafo Region,NPP,M,Married,4,1966,Lawyer,Christian,Presby,25141,42478,71918,28765,42632,
70,Ignatius Baffour Awuah,Sunyani West,Brong Ahafo Region,NPP,M,Married,3,1966,Banker,Christian,Catholic,22620,26153,49164,21927,26590,
71,Kwasi Agyemang Gyan-Tutu,Tain,Brong Ahafo Region,NDC,M,Married,12,1957,Public Servant,Christian,Seventh- Day Adventist,17286,12981,30878,17368,13277,
72,Freda Akosua Oheneafrewo Prempeh,Tano North,Brong Ahafo Region,NPP,F,Separated,0,1966,Public Relations Executive,Christian,Lighthouse Chapel International,14789,18531,34379,14997,19339,
73,Hanna Louisa Bisiw (Dr.),Tano South,Brong Ahafo Region,NDC,F,Separated,1,1972,Veterinary Doctor,Christian,Church of Pentecost,19236,17856,37362,17677,19234,
74,Alex Kyeremeh,Techiman North,Brong Ahafo Region,NDC,M,Married,5,1962,Accountant,Christian,Catholic,16537,13727,30876,16329,13944,
75,Mensah Adjei,Techiman South,Brong Ahafo Region,NDC,M,Married,3,1970,Teacher,Christian,Seventh- Day Adventist,41430,33658,75890,42133,32741,
76,George Yaw Gyan-Baffour (Prof),Wenchi,Brong Ahafo Region,NPP,M,Married,7,1951,Economist,Christian,Catholic,18660,20818,40957,20404,19692,
77,Anthony Christian Dadzie,Abura-Asebu-Kwamankese,Central Region,NDC,M,Married,4,1962,Accountant,Christian,Catholic,25295,17045,45345,27106,16736,
78,Queenstar Pokuah Sawyerr (Mrs),Agona East,Central Region,NDC,F,Married,4,1964,Business Person,Christian,Anglican,22689,18049,41133,21228,18879,
79,Charles Obeng-Inkoom,Agona West,Central Region,NDC,M,Married,4,1958,Lawyer,Christian,Church of Pentecost,30166,25397,56702,27371,28012,
80,Cassiel Ato Forson,Ajumako-Enyan-Esiam,Central Region,NDC,M,Married,2,1978,Accountant,Christian,Methodist,24752,21462,46997,24416,21300,
81,Georgina Nkrumah Aboah (Mrs),Asikuma-Odoben-Brakwa,Central Region,NDC,F,Married,2,1959,Teacher,Christian,Methodist,23812,21021,45874,22718,22162,
83,Samuel Ambre,Assin North,Central Region,NDC,M,Married,3,1972,Teacher,Christian,Methodist,14338,12281,27763,14830,11884,
82,Ken Ohene Agyapong,Assin Central,Central Region,NPP,M,Married,6,1973,"business man""""""business man""""""""",Christian,Methodist,16347,13202,30065,13105,16157,
84,Dominic K. Fobih (Prof),Assin South,Central Region,NPP,M,Married,9,1942,Lecturer,Christian,Catholic,17903,19834,39597,17059,21386,
85,Hawa Mavis Koomson (Mrs),Awutu Senya East,Central Region,NPP,F,Married,3,1966,Teacher,Christian,Methodist,26884,31054,59150,28228,30481,
86,Hanna Serwaah Tetteh (Ms),Awutu Senya West,Central Region,NDC,F,Divorced,2,1967,Lawyer,Christian,Methodist,23082,18487,46308,23509,21566,
87,Ebo Barton-Odro,Cape Coast North,Central Region,NDC,M,Married,4,1952,Lawyer,Christian,Methodist,21189,19558,43123,22920,19246,
88,Kweku Ricketts-Hagan,Cape Coast South,Central Region,NDC,M,Married,5,1963,Banker,Christian,Methodist,22150,19206,42263,22683,18834,
89,Alexander Kwamina Afenyo-Markin,Effutu,Central Region,NPP,M,Married,0,1978,Lawyer,Christian,Catholic,16977,19062,36764,18219,18074,
90,Abeiku Crentsil,Ekumfi,Central Region,NDC,M,Married,4,1973,Architect,Christian,Methodist,16615,9395,26463,18026,7570,
91,Rachel Florence Appoh (Ms),Gomoa Central,Central Region,NDC,F,Single,1,1980,Auditor,Christian,Church of Pentecost,15719,11385,27526,15615,11215,
92,Ekow Panyin Okyere Eduamoah,Gomoa East,Central Region,NDC,M,Married,4,1972,Education Executive,Christian,Methodist,18538,15449,35734,19741,15341,
93,Francis Kojo Arthur,Gomoa West,Central Region,NDC,M,Married,10,1954,Teacher,Christian,Catholic,27624,19310,48742,28810,18756,
94,Foster Joseph Andoh,Hermang Lower Denkyira,Central Region,NDC,M,Married,3,1961,HR Manager,Christian,Assemblies of God,13178,13147,26325,12727,12844,
95,Stephen Nana Ato Arthur (Dr),KEEA,Central Region,NPP,M,Married,3,1961,Engineer,Christian,Catholic,13962,22151,58049,31775,19699,
96,Aquinas Quansah,Mfantseman,Central Region,NDC,M,Married,1,1967,Journalist,Christian,Harvest Chapel International,31837,29476,62481,33752,26446,
97,Ato Samuel Amoah,Twifo-Atii Morkwaa,Central Region,NDC,M,Married,4,1966,Teacher,Christian,Seventh- Day Adventist,19410,15150,38248,21999,15260,
98,Nana Amoakoh,Upper Denkyira East,Central Region,NPP,M,Married,3,1958,Business Person,Christian,Catholic,17319,21020,38942,15707,22923,
99,Benjamin Kofi Ayeh,Upper Denkyira West,Central Region,NPP,M,Married,0,1962,Accountant,Christian,LDS,10192,14111,26794,10830,15364,
100,Bryan Acheampong,Abetifi,Eastern Region,NPP,M,Unkn,NA,1973,IT Consultant,Christian,,11764,20766,32530,10664,21381,Peter Wiafe Pepera
101,Esther Obeng Dappah(Ms),Abirem,Eastern Region,NPP,F,Single,3,1945,Lawyer,Christian,Church of Pentecost,14515,17347,32091,12404,19173,
102,Gifty Twum-Ampofo,Abuakwa North,Eastern Region,NPP,F,Married,NA,1940,Teacher,Christian,NA,12309,18812,31121,11754,19162,Joseph Boakye Danquah Adu
103,Samuel Atta Akyea,Abuakwa South,Eastern Region,NPP,M,Married,3,1962,Lawyer,Christian,ICGC,29330,8205,38219,8445,29334,
104,Robert Kwasi Amoah,Achiase,Eastern Region,NPP,M,Married,8,1948,Teacher,Christian,Presby,8503,14395,22971,8058,14536,
105,Aboagye Emmanuel Didieye,Afram Plains North,Eastern Region,NDC,M,Married,1,1976,ICT Specialist,Christian,Presby,18956,6762,26473,21373,4419,
106,Joseph Appiah Boateng,Afram Plains South,Eastern Region,NDC,M,Married,3,1975,Contractor,Christian,Church of Pentecost,14946,7348,24317,16944,6643,
107,William Agyapong Quaittoo,Akim Oda,Eastern Region,NPP,M,Married,4,1966,Business/Project Development and Management,Christian,Baptist,6315,18972,30244,9129,20631,
108,Kennedy Nyarko Osei,Akim Swedru,Eastern Region,NPP,M,Married,0,1979,Marketing,Christian,ICGC,3533,8865,15894,4581,10943,
109,William Ofori Boafo,Akwapem North,Eastern Region,NPP,M,Married,1,1946,Lawyer,Christian,Presby,15588,26828,43873,15389,29032,
110,Osei Bonsu Amoah,Akwapem South,Eastern Region,NPP,M,Married,3,1961,Lawyer,Christian,Methodist,8694,12720,25577,9446,15436,
111,Baba Jamal Mohammed Ahmed,Akwatia,Eastern Region,NDC,M,Married,5,1969,Politician,Islam,,20471,19914,40587,19118,20678,
112,Yaw Owusu-Boateng,Asene-Akroso-Manso,Eastern Region,NPP,M,Married,3,1955,Education Executive,Christian,Methodist,11765,17881,31062,11379,18929,
113,Kofi Osei-Ameyaw,Asuogyaman,Eastern Region,NPP,M,Married,2,1960,Lawyer,Christian,,18650,20750,40415,21777,18110,
114,Abena Osei-Asare (Mrs),Atiwa East,Eastern Region,NPP,F,Married,2,1979,Banker,Christian,Methodist,6480,16449,23361,6618,16513,
115,Kwasi Amoako-Attah,Atiwa West,Eastern Region,NPP,M,Married,4,1951,Lawyer,Christian,Presby,5984,17176,23160,5305,17625,
116,Samuel Ayeh-Paye,Ayensuano,Eastern Region,NPP,M,Married,3,1973,Engineer,Christian,Presby,16878,21893,39100,16266,20143,
117,Amankwa Kwabena Asiamah,Fanteakwa North,Eastern Region,NPP,M,Married,7,1958,Banker,Christian,Presby,10825,11798,23464,10877,11996,
118,Kofi Okyere-Agyekum,Fanteakwa South,Eastern Region,NPP,M,Married,3,1958,Business Person,Christian,Presby,6560,11683,20168,6746,12681,
119,Ofosu Asamoah,Kade,Eastern Region,NPP,M,Married,3,1969,Lawyer,Christian,Presby,17168,27506,50522,17040,32536,
120,Ebenezer Okletey Terlabi,Lower Manya Krobo,Eastern Region,NDC,M,Married,3,1963,biochemist,Christian,Church of Pentecost,24367,16181,45957,30183,13965,
121,Gifty Klenam (Ms),Lower West Akim,Eastern Region,NPP,F,Married,2,1970,farmer,Christian,ICGC,18225,26663,46132,18433,26677,
122,Kwame Seth Acheampong,Mpraeso,Eastern Region,NPP,M,Married,0,1971,Business Person,Christian,Presby,8792,22417,32815,9785,22530,
123,Kwasi Boateng Adjei,New Juaben North,Eastern Region,NPP,M,Married,3,1954,Politician,Christian,Methodist,8911,19970,29888,9159,19960,
124,Mark Assibey-Yeboah (Dr),New Juaben South,Eastern Region,NPP,M,Married,3,1974,Economist,Christian,Presby,24925,38030,64731,26063,38307,
125,Eric Kwakye Darfour,Nkawkaw,Eastern Region,NPP,M,Married,3,1957,Business Person,Christian,ISKCON,16503,35769,52894,15073,37089,
126,Frank Annoh-Dompreh,Nsawam-Adoagyiri,Eastern Region,NPP,M,Married,3,1977,farmer,Christian,Church of Pentecost,21663,24074,47649,22919,24084,
127,David Oppon-Kusi,Ofoase-Ayirebi,Eastern Region,NPP,M,Married,7,1958,Architect,Christian,Methodist,13659,19025,35262,12892,21393,
128,Daniel Botwe,Okere,Eastern Region,NPP,M,Married,3,1958,Computer Scientist,Christian,Presby,9680,15165,25247,9806,15050,
129,Frederick Opare-Ansah,Suhum,Eastern Region,NPP,M,Married,0,1958,Engineer,Christian,,23658,24046,48791,21520,26608,
130,Jeff Tetteh Kavianu,Upper Manya Krobo,Eastern Region,NDC,M,Married,4,1964,Management Consultant,Christian,New Fountain of Life Ministry International,15924,8904,26523,17613,8112,
131,Joseph Sam Amankwanor,Upper West Akim,Eastern Region,NDC,M,Married,5,1954,Business Person,Christian,Royal House Temple,18736,14973,34012,19128,14059,
132,Magnus Kofi Amoatey,Yilo Krobo,Eastern Region,NDC,M,Married,4,1948,Director of Programmes,Christian,Presbyterian,26581,14510,43228,29300,13339,
133,Theophilus Tetteh Chaie,Ablekuma Central,Greater Accra Region,NDC,M,Married,1,1972,Educationist,Christian,Methodist,46606,45265,94187,49438,45265,
134,Justice Joe Appiah,Ablekuma North,Greater Accra Region,NPP,M,Married,5,1959,Network engineer/ Bussiness person,Christian,Presbyterian church,34534,53115,90136,34802,54864,
135,Fritz Frederic Baffour,Ablekuma South,Greater Accra Region,NDC,M,Married,4,1952,Journalist/Advertiser,Christian,Catholic,33540,23506,59703,35981,24887,
136,Ursula G. Owusu-Ekuful (Mrs.),Ablekuma West,Greater Accra Region,NPP,F,Married,0,1964,Lawyer,Christian,,26153,36975,63514,25185,36383,
137,Comfort Doyoe Cudjoe-Ghansah (Mrs.),Ada,Greater Accra Region,NDC,F,Married,6,1967,Business person,Christian,Methodist,19749,1824,27083,22794,3573,
138,Emmanuel Nii Ashie-Moore,Adenta,Greater Accra Region,NDC,M,Married,0,1969,Marketing,Christian,,35409,30805,67439,36451,31419,
139,Nii Okai Emmanuel Laryea,Amasaman,Greater Accra Region,NDC,M,Single,2,1983,Business Person,Christian,Anglican,21761,29724,57356,34899,22200,
140,Shirley A. Botchway(Ms),Anyaa-Sowutuom,Greater Accra Region,NPP,F,Married,2,1963,Journalist/Advertiser,Christian,Anglican,29536,51196,81948,29312,51854,
141,Alfred Kwame Agbesi,Ashaiman,Greater Accra Region,NDC,M,Married,6,1955,Lawyer,Christian,Evangelical Presby,47154,32650,94508,60178,33725,
142,Henry Quartey,Ayawaso Central,Greater Accra Region,NPP,M,Married,4,1971,Business person,Christian,Power Impact Ministries,32439,33074,66859,33206,33424,
143,Naser Toure Mahama,Ayawaso East,Greater Accra Region,NDC,M,Married,2,1965,Energy Consultant,Islam,,26647,13887,40720,27370,14283,
144,Mustapha Ahmed (Maj [Rtd]) (Dr) (Alh),Ayawaso North,Greater Accra Region,NDC,M,Married,3,1956,Dental Surgeon,Islam,,24475,15281,40473,25979,14367,
145,Kyeremateng Emmanuel Agyarko,Ayawaso West Wuogon,Greater Accra Region,NPP,M,Married,7,1957,Pharmacist,Christian,Presby,30116,31807,63232,31537,31023,
146,Bright Edward Kodzo Demordzi,Bortianor-Ngleshie Amanfro,Greater Accra Region,NDC,M,Married,3,1972,Marketing,Christian,Overcomers Praise Assembly International,23014,22826,48975,23666,22732,
147,Nii Amasah Namoale,Dadekotopon,Greater Accra Region,NDC,M,Married,3,1958,Agronomist,Christian,Church of Christ,50016,34533,87890,52691,35242,
148,Daoud Anum Yemoh,Domeabra-Obom,Greater Accra Region,NDC,M,Married,5,1954,Journalist/Advertiser,Islam,,10404,2666,20988,16431,3114,
149,Sarah Adwoa Safo (Ms),Dome-Kwabenya,Greater Accra Region,NPP,F,Single,0,1981,Lawyer,Christian,Kristo Asafo Mission,35356,63373,99402,37278,61534,
150,Nii Armah Ashietey,Korle Klottey,Greater Accra Region,NDC,M,Married,2,1950,Lawyer,Christian,Anglican,36122,34847,74407,38928,44928,
151,Joseph Nii Laryea Afotey-Agbo,Kpone-Katamanso,Greater Accra Region,NDC,M,Married,5,1967,Farmer,Christian,Presby,33598,23984,58689,35557,23650,
152,Nii Oakley Quaye-Kumah (Dr),Krowor,Greater Accra Region,NDC,M,Married,4,1959,Veterinary Surgeon,Christian,Presbyterian church,32520,29700,65730,35284,30409,
153,Benita Sena Okity-Duah (Mrs.),Ledzokuku,Greater Accra Region,NDC,F,Married,2,1976,Fashion designer/Politician,Christian,LDS,52524,42038,95497,53710,40662,
154,Amadu B. Sorogho (Alhaji),Madina,Greater Accra Region,NDC,M,Married,6,1955,Manager/Administrator,Islam,,41441,34845,79594,45626,34657,
155,Enoch Teye Mensah,Ningo Prampram,Greater Accra Region,NDC,M,Married,7,1960,Account Officer,Christian,Methodist,21178,17122,39176,28490,9681,
156,Edwin NiiåÊLantey Vanderpuye,Odododiodioo,Greater Accra Region,NDC,M,Married,6,1965,Journalist,Christian,World Harvest Church,45967,26269,72981,45555,27047,
157,Patrick Yaw Boamah,Okaikwei Central,Greater Accra Region,NPP,M,Married,2,1974,Lawyer,Christian,Methodist,20403,27667,49214,22777,26401,
158,Elizabeth K. T. Sackey(Mrs),Okaikwei North,Greater Accra Region,NPP,F,Married,4,1958,Banker,Christian,Church of Pentecost,25357,27268,54960,26927,28094,
159,Ahmed Arthur,Okaikwei South,Greater Accra Region,NPP,M,Married,3,1970,Journalist/Advertiser,Christian,ICGC,28568,38399,69743,30269,39690,
160,Christian Corleytey Otuteye,Sege,Greater Accra Region,NDC,M,Single,0,1973,Lecturer,Christian,Presbyterian,13792,10673,24737,18652,5375,
161,David Tetteh Assumeng,Shai-Osudoku,Greater Accra Region,NDC,M,Married,1,1961,Public Servant,Christian,Presby,18089,6991,30666,22444,7444,
162,Kofi Brako,Tema Central,Greater Accra Region,NPP,M,Married,4,1959,Managing Director,Christian,LDS,26948,14360,45011,16635,27998,
163,Daniel Nii Kwartei Titus-Glover,Tema East,Greater Accra Region,NPP,M,Married,4,1966,Human Resource Manager,Christian,Miracle Life Gospel Church,30072,30075,63065,32162,30701,
164,Irene Naa Torshie Addo (Mrs),Tema West,Greater Accra Region,NPP,F,Married,2,1970,Lawyer,Christian,Baptist,39005,39950,80656,39172,40952,
165,Moses Anim,Trobu,Greater Accra Region,NPP,M,Married,NA,1965,Project Manager,Christian,Church of Pentecost,27886,46446,78782,29979,47843,
166,Rosemund Comfort Abrah (Ms.),Weija-Gbawe,Greater Accra Region,NPP,F,Married,0,1950,Teacher,Christian,Presby,26899,32861,61322,26386,34446,
167,Dominic B. A. Nitiwul,Bimbilla,Northern Region,NPP,M,Married,3,1977,Manager/Administrator,Christian,Catholic,17034,30521,52007,21069,29037,
168,Joseph Akati Saaka (Alhaji),Bole-Bamboi,Northern Region,NDC,M,Married,7,1950,Marketing Expert,Islam,,14642,8292,23198,17022,5310,
169,Solomon Namliit Boar,Bunkpurugu,Northern Region,NPP,M,Married,5,1968,Manager/Administrator/HR Practitioner,Christian,N/A,10149,10829,27874,17393,8649,
170,Namoro Sanda Azumah,Chereponi,Northern Region,NPP,M,Married,9,1956,Teacher,Islam,,10565,11680,22683,10529,11353,
171,Abudu Nelson Baani,Daboya-Mankarigu,Northern Region,NDC,M,Married,5,1962,Tax Administrator,Islam,,8275,6672,15376,8515,6297,
172,Mutawakilu Adam,Damongo,Northern Region,NDC,M,Married,5,1972,Accountant,Islam,,9718,7041,17150,10732,5973,
173,Matthew Nyindam,Gushegu,Northern Region,NDC,M,Married,4,1972,Farmer/Agriculturist,Christian,Church of Christ,18776,18439,37596,18363,17296,
174,Sualihu Dandaawa Alhassan,Karaga,Northern Region,NDC,M,Married,0,1983,Administrator,Islam,,15648,13107,30565,17012,12261,
175,Matthew Nyindam,Kpandai,Northern Region,NPP,M,Married,2,1963,Politician,Christian,Catholic,13794,16221,38188,22145,14374,
176,Amadu Moses Yahaya,Kumbungu,Northern Region,CPP,M,Married,2,1972,Farmer,Islam,Sunni,18285,8523,32324,22721,6161,"Muhammed Mumuni, NDC"
